Zipcode,State,State Cty,Tract,Tract GeoID,City Name,Zip Name,Population,Part PCT
94611,CA,6001,4044.0,6001404400,Alameda CA,"Oakland, CA",4876,0.1211
94618,CA,6001,4044.0,6001404400,Alameda CA,"Oakland, CA",745,0.044
94602,CA,6001,4045.01,6001404501,Alameda CA,"Oakland, CA",9,0.0003
94611,CA,6001,4045.01,6001404501,Alameda CA,"Oakland, CA",1762,0.0438
94611,CA,6001,4045.02,6001404502,Alameda CA,"Oakland, CA",6194,0.1538
94602,CA,6001,4046.0,6001404600,Alameda CA,"Oakland, CA",318,0.0107
94611,CA,6001,4046.0,6001404600,Alameda CA,"Oakland, CA",4233,0.1051
94602,CA,6001,4047.0,6001404700,Alameda CA,"Oakland, CA",1969,0.0663
94611,CA,6001,4047.0,6001404700,Alameda CA,"Oakland, CA",13,0.0003
94602,CA,6001,4048.0,6001404800,Alameda CA,"Oakland, CA",2757,0.0928
94602,CA,6001,4049.0,6001404900,Alameda CA,"Oakland, CA",4458,0.1501
94602,CA,6001,4050.0,6001405000,Alameda CA,"Oakland, CA",1703,0.0573
94610,CA,6001,4050.0,6001405000,Alameda CA,"Oakland, CA",1610,0.0515
94610,CA,6001,4051.0,6001405100,Alameda CA,"Oakland, CA",4363,0.1396
94606,CA,6001,4052.0,6001405200,Alameda CA,"Oakland, CA",2261,0.0555
94610,CA,6001,4052.0,6001405200,Alameda CA,"Oakland, CA",2578,0.0825
94606,CA,6001,4053.01,6001405301,Alameda CA,"Oakland, CA",2991,0.0734
94606,CA,6001,4053.02,6001405302,Alameda CA,"Oakland, CA",2797,0.0686
94606,CA,6001,4054.01,6001405401,Alameda CA,"Oakland, CA",3875,0.0951
94606,CA,6001,4054.02,6001405402,Alameda CA,"Oakland, CA",3171,0.0778
94606,CA,6001,4055.0,6001405500,Alameda CA,"Oakland, CA",3844,0.0943
94606,CA,6001,4056.0,6001405600,Alameda CA,"Oakland, CA",1899,0.0466
94610,CA,6001,4056.0,6001405600,Alameda CA,"Oakland, CA",1325,0.0424
94602,CA,6001,4057.0,6001405700,Alameda CA,"Oakland, CA",1538,0.0518
94606,CA,6001,4057.0,6001405700,Alameda CA,"Oakland, CA",1885,0.0462
94606,CA,6001,4058.0,6001405800,Alameda CA,"Oakland, CA",4320,0.106
94606,CA,6001,4059.01,6001405901,Alameda CA,"Oakland, CA",4279,0.105
94606,CA,6001,4059.02,6001405902,Alameda CA,"Oakland, CA",3181,0.078
94606,CA,6001,4060.0,6001406000,Alameda CA,"Oakland, CA",5223,0.1281
94601,CA,6001,4061.0,6001406100,Alameda CA,"Oakland, CA",5800,0.1071
94606,CA,6001,4061.0,6001406100,Alameda CA,"Oakland, CA",87,0.0021
94601,CA,6001,4062.01,6001406201,Alameda CA,"Oakland, CA",4554,0.0841
94606,CA,6001,4062.01,6001406201,Alameda CA,"Oakland, CA",465,0.0114
94601,CA,6001,4062.02,6001406202,Alameda CA,"Oakland, CA",4769,0.088
94601,CA,6001,4063.0,6001406300,Alameda CA,"Oakland, CA",3739,0.069
94606,CA,6001,4063.0,6001406300,Alameda CA,"Oakland, CA",250,0.0061
94601,CA,6001,4064.0,6001406400,Alameda CA,"Oakland, CA",1099,0.0203
94602,CA,6001,4064.0,6001406400,Alameda CA,"Oakland, CA",872,0.0294
94606,CA,6001,4064.0,6001406400,Alameda CA,"Oakland, CA",240,0.0059
94601,CA,6001,4065.0,6001406500,Alameda CA,"Oakland, CA",5546,0.1024
94602,CA,6001,4065.0,6001406500,Alameda CA,"Oakland, CA",650,0.0219
94602,CA,6001,4066.01,6001406601,Alameda CA,"Oakland, CA",4499,0.1515
94619,CA,6001,4066.01,6001406601,Alameda CA,"Oakland, CA",335,0.0135
94602,CA,6001,4066.02,6001406602,Alameda CA,"Oakland, CA",2554,0.086
94602,CA,6001,4067.0,6001406700,Alameda CA,"Oakland, CA",5567,0.1874
94602,CA,6001,4068.0,6001406800,Alameda CA,"Oakland, CA",1827,0.0615
94619,CA,6001,4068.0,6001406800,Alameda CA,"Oakland, CA",1742,0.0701
94619,CA,6001,4069.0,6001406900,Alameda CA,"Oakland, CA",3839,0.1544
94619,CA,6001,4070.0,6001407000,Alameda CA,"Oakland, CA",6079,0.2445
94601,CA,6001,4071.01,6001407101,Alameda CA,"Oakland, CA",3558,0.0657
94601,CA,6001,4071.02,6001407102,Alameda CA,"Oakland, CA",4276,0.0789
94619,CA,6001,4071.02,6001407102,Alameda CA,"Oakland, CA",106,0.0043
94601,CA,6001,4072.0,6001407200,Alameda CA,"Oakland, CA",6823,0.126
94601,CA,6001,4073.0,6001407300,Alameda CA,"Oakland, CA",3263,0.0602
94621,CA,6001,4073.0,6001407300,Alameda CA,"Oakland, CA",680,0.019
94601,CA,6001,4074.0,6001407400,Alameda CA,"Oakland, CA",4412,0.0815
94601,CA,6001,4075.0,6001407500,Alameda CA,"Oakland, CA",614,0.0113
94605,CA,6001,4075.0,6001407500,Alameda CA,"Oakland, CA",988,0.0223
94621,CA,6001,4075.0,6001407500,Alameda CA,"Oakland, CA",2781,0.0776
94601,CA,6001,4076.0,6001407600,Alameda CA,"Oakland, CA",5183,0.0957
94619,CA,6001,4076.0,6001407600,Alameda CA,"Oakland, CA",1207,0.0485
94601,CA,6001,4077.0,6001407700,Alameda CA,"Oakland, CA",530,0.0098
94605,CA,6001,4077.0,6001407700,Alameda CA,"Oakland, CA",1808,0.0408
94619,CA,6001,4077.0,6001407700,Alameda CA,"Oakland, CA",2127,0.0855
94605,CA,6001,4078.0,6001407800,Alameda CA,"Oakland, CA",72,0.0016
94613,CA,6001,4078.0,6001407800,Alameda CA,"Oakland, CA",346,1.0
94619,CA,6001,4078.0,6001407800,Alameda CA,"Oakland, CA",1955,0.0786
94619,CA,6001,4079.0,6001407900,Alameda CA,"Oakland, CA",3081,0.1239
94602,CA,6001,4080.0,6001408000,Alameda CA,"Oakland, CA",981,0.033
94619,CA,6001,4080.0,6001408000,Alameda CA,"Oakland, CA",1649,0.0663
94605,CA,6001,4081.0,6001408100,Alameda CA,"Oakland, CA",4011,0.0906
94619,CA,6001,4081.0,6001408100,Alameda CA,"Oakland, CA",2701,0.1086
94605,CA,6001,4082.0,6001408200,Alameda CA,"Oakland, CA",4471,0.1009
94605,CA,6001,4083.0,6001408300,Alameda CA,"Oakland, CA",4791,0.1082
94605,CA,6001,4084.0,6001408400,Alameda CA,"Oakland, CA",3927,0.0887
94605,CA,6001,4085.0,6001408500,Alameda CA,"Oakland, CA",1189,0.0268
94621,CA,6001,4085.0,6001408500,Alameda CA,"Oakland, CA",4563,0.1274
94605,CA,6001,4086.0,6001408600,Alameda CA,"Oakland, CA",2924,0.066
94621,CA,6001,4086.0,6001408600,Alameda CA,"Oakland, CA",3243,0.0905
94605,CA,6001,4087.0,6001408700,Alameda CA,"Oakland, CA",4959,0.112
94621,CA,6001,4087.0,6001408700,Alameda CA,"Oakland, CA",2815,0.0786
94621,CA,6001,4088.0,6001408800,Alameda CA,"Oakland, CA",7257,0.2026
94621,CA,6001,4089.0,6001408900,Alameda CA,"Oakland, CA",3857,0.1077
94603,CA,6001,4090.0,6001409000,Alameda CA,"Oakland, CA",4090,0.1115
94621,CA,6001,4090.0,6001409000,Alameda CA,"Oakland, CA",789,0.022
